id,name,ride,goff,lat,lon,demand,cityhall,samsan,taehwagang,ulsanuniv,hhi,uuh,ktx,eonyang,min_to_any,mean_to_centers,n_within
E0891,신일반산업단지입구,3,0,35.46184357,129.3389131,3,50.0,62.0,69.0,70.0,101.0,109.0,115.0,,50.0,82.28571428571429,0
E0892,외황로입구,11,10,35.46187751,129.3347653,21,49.0,61.0,68.0,72.0,99.0,109.0,114.0,,49.0,81.71428571428571,0
E0893,처용마을입구,50,14,35.46613472,129.3323154,64,46.0,57.0,64.0,68.0,97.0,105.0,112.0,,46.0,78.42857142857143,0
E0894,처용고가교,2,0,35.46955814,129.334647,2,53.0,64.0,70.0,73.0,103.0,110.0,118.0,,53.0,84.42857142857143,0
E0895,S-oil동문입구,8,2,35.44257172,129.3503702,10,63.0,73.0,80.0,84.0,113.0,,,,63.0,82.6,0
E0896,이영산업기계입구,12,4,35.43764726,129.351219,16,63.0,75.0,82.0,85.0,114.0,,,,63.0,83.8,0
E0897,세진중공업,49,16,35.42337408,129.351231,65,69.0,81.0,88.0,91.0,,,,,69.0,82.25,0
E0898,이진마을입구,21,6,35.42881687,129.3512176,27,68.0,79.0,85.0,90.0,118.0,,,,68.0,88.0,0
E0899,S-oil정문,227,16,35.44659771,129.3343787,243,56.0,66.0,73.0,71.0,106.0,115.0,112.0,,56.0,85.57142857142857,0
E0900,화산119센터,15,7,35.44153721,129.3344637,22,60.0,71.0,78.0,79.0,109.0,118.0,,,60.0,85.83333333333333,0
E0901,S-oil후문,5,8,35.44659771,129.3343787,13,55.0,66.0,72.0,73.0,108.0,113.0,113.0,,55.0,85.71428571428571,0
E0902,KG케미칼,2,2,35.4327474,129.3514905,4,65.0,77.0,83.0,87.0,115.0,,,,65.0,85.4,0
E0903,한텍,7,6,35.41785239,129.3512325,13,73.0,85.0,92.0,95.0,,,,,73.0,86.25,0
E0904,코스모화학,9,2,35.41785231,129.3382342,11,82.0,93.0,99.0,103.0,,,,,82.0,94.25,0
E0905,한국제지,8,1,35.41054227,129.3467737,9,77.0,90.0,97.0,99.0,,,,,77.0,90.75,0
E0906,온산읍행정복지센터,520,162,35.43402623,129.3131431,682,62.0,73.0,80.0,79.0,112.0,,119.0,,62.0,87.5,0
E0907,온산우체국,166,70,35.43351645,129.3085582,236,65.0,76.0,82.0,86.0,114.0,,,,65.0,84.6,0
E0908,온산중고등학교,23,4,35.44037307,129.3162834,27,66.0,78.0,85.0,87.0,118.0,,,,66.0,86.8,0
E0909,온산문화체육센터,8,0,35.43803528,129.3146122,8,65.0,75.0,83.0,83.0,114.0,,,,65.0,84.0,0
E0910,명봉마을,17,3,35.43555144,129.3135457,20,65.0,76.0,81.0,82.0,114.0,,,,65.0,83.6,0
E0911,덕신소공원,159,71,35.43287196,129.3111532,230,64.0,74.0,81.0,83.0,114.0,,,,64.0,83.2,0
E0912,진영프리텔,155,45,35.43132504,129.3092346,200,65.0,75.0,82.0,83.0,115.0,,,,65.0,84.0,0
E0913,덕신대교,142,58,35.4289656,129.3058167,200,70.0,79.0,85.0,88.0,118.0,,,,70.0,88.0,0
E0914,오산마을,3,4,35.4440308,129.3005054,7,64.0,73.0,79.0,82.0,113.0,,,,64.0,82.2,0
E0915,동원아파트입구,90,10,35.43966546,129.3059687,100,66.0,75.0,81.0,84.0,112.0,,,,66.0,83.6,0
E0916,동원아파트,178,44,35.43966546,129.3059687,222,67.0,76.0,82.0,87.0,114.0,,,,67.0,85.2,0
E0917,울산기술공업고등학교앞,164,31,35.43721525,129.3083916,195,68.0,77.0,83.0,88.0,119.0,,,,68.0,87.0,0
E0918,덕신초등학교,62,22,35.4347568,129.3059132,84,67.0,77.0,84.0,87.0,114.0,,,,67.0,85.8,0
E0919,크로바강변빌라,16,7,35.42761189,129.3064217,23,70.0,79.0,85.0,89.0,119.0,,,,70.0,88.4,0
