stop_name,lat,lon,boardings,alightings
두왕다리,35.497892,129.306084,51,32
대공원호반베르디움,35.515071,129.294099,305,66
산학융합지구캠퍼스,35.513001,129.295894,259,47
대경산전,35.504865,129.304206,4,2
한국생산기술연구원,35.512243,129.303152,2,0
한국에너지기술연구원,35.510932,129.300269,0,1
두왕초등학교,35.514404,129.293635,2,2
신정시장,35.543297,129.311026,4723,1788
시청,35.537637,129.310348,3126,1286
달동사거리,35.535636,129.33114,1650,724
공업탑,35.53301,129.309774,7439,4468
올림푸스아파트,35.531975,129.309846,204,34
동서오거리,35.530697,129.315281,349,150
중앙중학교,35.52654,129.31745,260,57
신정고등학교,35.53277,129.303063,892,213
수암시장,35.527927,129.320733,1327,434
문화예술회관,35.543129,129.325343,464,299
태화로터리,35.546536,129.307278,563,229
신정1동행정복지센터,35.541761,129.305969,127,59
산업은행,35.537454,129.305821,192,46
신정2동행정복지센터입구,35.533881,129.306788,189,114
시청후문,35.537637,129.310348,60,62
신일중학교,35.524358,129.311529,35,55
농업인회관,35.536743,129.307928,72,31
루첸아파트,35.531761,129.315225,307,104
태화강전망대,35.544149,129.295363,6,7
크로바아파트,35.546349,129.30358,26,8
십리대밭교,35.54925,129.306241,137,47
한전,35.54074,129.323292,61,14
한국노총,35.53979,129.319542,43,10
상공회의소,35.538668,129.315226,47,20
KBS방송국,35.543733,129.325074,5,21
도성아파트후문,35.537743,129.297065,60,9
올림푸스아파트4동,35.529597,129.299687,28,1
금란유치원,35.529955,129.304788,3,4
중앙병원,35.532009,129.305726,7,10
신정현대홈타운4단지,35.531273,129.322373,60,10
미소지움아파트,35.531356,129.32058,48,5
미소지움입구,35.530864,129.318237,49,8
문수로아이파크,35.537783,129.297299,6,2
신정시장사거리,35.542334,129.312808,49,39
울산공고,35.542898,129.314945,42,8
신정5동행정복지센터앞,35.544093,129.319476,33,8
극동스타클래스,35.640179,129.348316,322,45
울산공고정문,35.542898,129.314945,5,1
푸른아파트앞,35.54057,129.298658,111,2
우주가든,35.540552,129.300199,40,12
은월아파트,35.540153,129.302796,136,28
축협,35.541151,129.308246,137,20
남부신협,35.541563,129.310546,214,47
풍진힐그린타운,35.545097,129.311573,57,45
남부교회,35.545614,129.313565,85,10
신정3동행정복지센터입구,35.546117,129.315497,151,16
강남고등학교,35.546797,129.318667,221,28
남경노블랜드,35.547499,129.321378,186,23
울산병원,35.546154,129.322191,79,15
신한로얄멤버스아파트,35.539977,129.304158,16,9
오성아파트앞,35.540498,129.298935,13,0
목련아파트,35.5394,129.300934,13,1
평화시장,35.538852,129.302771,35,11
문수로2차아이파크,35.536708,129.303296,40,4
넝쿨아파트,35.53661,129.301111,27,2
중앙공원,35.547254,129.313028,14,2
센트럴하이츠,35.547892,129.314967,32,2
에쓰오일사택,35.537851,129.301028,35,4
옥동초등학교후문,35.534037,129.295865,33,8
문수로2차아이파크1단지,35.535819,129.302307,22,2
강남초등학교,35.53582,129.320548,1581,423
달동현대아파트,35.536306,129.323741,579,227
번영사거리,35.539393,129.327457,1358,431
목화예식장,35.537894,129.330705,662,697
현대백화점사거리,35.538509,129.333958,2937,1017
좋은의사들안과병원,35.538175,129.330419,1437,215
하나이비인후과병원,35.536507,129.323186,757,136
번영로코아루,35.5399,129.326706,84,24
달동주공,35.534438,129.326211,138,52
도산사거리,35.532916,129.329682,16,3
문화예술회관앞,35.543129,129.325343,328,83
태화중학교,35.531671,129.341305,29,19
우방아파트,35.638322,129.324159,127,22
문화공원앞,35.541978,129.327853,64,32
삼산선경아파트,35.543849,129.334281,136,23
광로교,35.532453,129.331179,14,7
신정현대홈타운,35.531654,129.323651,67,19
어울림아파트,35.53118,129.325338,11,3
동평교회,35.530494,129.327448,11,5
남구문화원,35.545909,129.326888,176,39
남울산우체국,35.546438,129.328809,86,31
대현중학교,35.543063,129.335452,152,61
현대백화점,35.540584,129.335327,441,265
동평중학교,35.533623,129.32425,79,17
달동주공아파트단지내,35.534438,129.326211,208,23
숭의빌딩,35.536342,129.335058,22,15
삼성자동차학원,35.533674,129.336729,1,1
달동현대아파트앞,35.536306,129.323741,1,3
목화예식장앞,35.537894,129.330705,0,18
시외고속버스터미널,35.539302,129.338169,2262,1287
농수산물도매시장,35.54009,129.341917,1275,639
태화강역,35.53937,129.35194,3208,1533
강변벽산아파트,35.545543,129.339976,356,140
보람병원입구,35.541578,129.339173,1406,563
고속버스터미널,35.537711,129.339622,529,160
현대문화아파트1차,35.533391,129.342409,82,18
울산도서관,35.534134,129.345604,66,40
한화꿈에그린,35.535955,129.348282,35,20
시외버스터미널,35.535111,129.340899,46,32
울산세무서,35.536035,129.346371,57,9
공구월드,35.536018,129.34216,80,30
평창3차아파트,35.544392,129.336943,114,26
한국산업단지공단,35.541386,129.344341,7,3
평창아데라움,35.543699,129.34588,85,24
세양청구,35.543311,129.350557,112,27
태화강역광장,35.541697,129.353389,64,78
세양청구아파트,35.545949,129.348583,105,5
롯데백화점후문,35.53791,129.337843,74,205
현대백화점정문,35.540584,129.335327,1241,228
삼산현대아파트,35.547056,129.331459,186,26
남구보건소,35.545692,129.33584,433,69
남부소방서,35.546995,129.334223,63,10
세이브존,35.547352,129.324756,45,11
현대문화1차아파트,35.534093,129.343742,6,4
삼산본동사거리,35.542464,129.347859,3,0
화물공제조합,35.545891,129.343999,12,3
대우푸르지오아파트,35.546163,129.342016,17,2
벽산아파트입구,35.507272,129.42138,7,0
아데라움아파트,35.546259,129.344853,3,3
