stop_id,stop_name,lat,lon,boardings,alightings,demand,min_cityhall,min_samsan,min_taehwagang,min_ulsanuniv,min_hhi,min_uuh,min_ktx,min_eonyang,min_to_any_hub,mean_to_hubs,hubs_within_45min
E0146,중구노인복지관,35.56258568,129.3418547,109,25,134,30.0,27.0,30.0,44.0,55.0,65.0,83.0,96.0,27.0,53.75,4
E0147,북울산전화국,35.56385053,129.3420843,378,83,461,28.0,25.0,29.0,42.0,55.0,65.0,82.0,94.0,25.0,52.5,4
E0148,병영사거리,35.56908002,129.3447199,2110,679,2789,26.0,23.0,31.0,42.0,59.0,70.0,80.0,90.0,23.0,52.625,4
E0149,병영1동행정복지센터,35.56951235,129.3465758,600,169,769,27.0,26.0,31.0,44.0,59.0,70.0,85.0,94.0,26.0,54.5,4
E0150,혜인학교,35.57424769,129.3382465,132,16,148,32.0,36.0,40.0,47.0,67.0,76.0,84.0,96.0,32.0,59.75,3
E0151,선우시장,35.56890697,129.3422645,95,40,135,29.0,28.0,35.0,44.0,62.0,70.0,83.0,95.0,28.0,55.75,4
E0152,약사중학교,35.57033389,129.3402082,59,18,77,31.0,31.0,37.0,47.0,65.0,74.0,86.0,97.0,31.0,58.5,3
E0153,약사아이파크,35.57340562,129.3392538,70,5,75,33.0,35.0,39.0,48.0,66.0,75.0,86.0,100.0,33.0,60.25,3
E0154,중부경찰서,35.57024574,129.3500157,213,81,294,30.0,28.0,29.0,45.0,61.0,71.0,85.0,96.0,28.0,55.625,4
E0155,삼일아파트,35.56833016,129.346206,124,26,150,29.0,27.0,32.0,45.0,61.0,69.0,82.0,94.0,27.0,54.875,4
E0156,남외중학교,35.56703669,129.3487708,71,10,81,35.0,32.0,32.0,50.0,63.0,73.0,91.0,100.0,32.0,59.5,3
E0157,푸르지오아파트,35.5651044,129.3487939,53,8,61,36.0,32.0,33.0,52.0,61.0,71.0,92.0,104.0,32.0,60.125,3
