idx,corridor,wbefore,wafter,saved_min,n_improved,demand_min_saved,top,secs
29,율리 → 문수경기장 → 옥현주공2단지 → 시청,41.81,40.62,1.19,619,426521.0,문수경기장입구(+25); 문수경기장(+24); 옥현주공2단지(+23),167.3
89,율리 → 옥현중학교 → 시청,41.8,40.68,1.11,593,398516.0,옥현중학교(+22); 율리(+21); 영축사지(+20),164.8
61,우신고등학교입구 → 삼호철새마을 → 시청,41.81,40.78,1.03,579,366941.0,우신고등학교(+22); 우신고등학교입구(+22); 무거중고교(+20),157.2
11,우신고등학교입구 → 정광사 → 천호탕 → 시청,41.81,40.84,0.98,576,352221.0,우신고등학교(+21); 우신고등학교입구(+21); 무거중고교(+19),161.4
37,달천아이파크2차 → 성안입구 → 향교 → 우정선경아파트 → 시청,41.79,40.81,0.98,594,361215.0,동산(+37); 달천아이파크2차(+36); 상안마을(+36),164.9
13,율리 → 문수경기장 → 시청,41.79,40.97,0.82,561,314585.0,문수경기장입구(+27); 문수경기장(+26); 영축사지(+23),160.3
38,온산읍행정복지센터 → 덕하시장앞 → 선암호수노인복지관 → 시청,41.8,41.02,0.78,529,308737.0,삼평초등학교(+40); 용안사(+37); 하서(+36),163.4
66,다운동아아파트 → 정광사 → 시청,41.81,41.03,0.78,632,306684.0,다운동아아파트(+22); 정광사(+19); 정광사입구(+18),158.6
57,남창고등학교 → 덕하한양수자인 → 시청,41.81,41.07,0.74,554,282267.0,위드아파트(+42); 하대양달(+39); 하대음달(+39),164.6
12,푸르지오2차 → 옥교동 → 시청,41.8,41.12,0.67,584,275661.0,푸르지오2차(+46); 강동초등학교(+45); 대안입구(+44),154.4
45,동호아파트 → 대공원호반베르디움 → 삼일고입구 → 시청,41.81,41.16,0.64,516,270268.0,동호아파트(+36); 위드아파트(+34); 우주아파트(+33),161.6
91,동호아파트 → 대공원호반베르디움 → 시청,41.81,41.29,0.52,526,233856.0,동호아파트(+39); 위드아파트(+37); 서생교(+36),160.0
78,롯데마트 → 두왕초등학교 → 시청,41.8,41.69,0.12,466,117013.0,수문마을회관(+16); 만주곡(+15); 두왕초등학교(+14),160.8
